Dustin Davis,69,94,82,59,52,60,87,79,71,80
Barry Rowe,99,68,52,78,52,75,89,50,50,79
Luke Scott,82,56,69,74,91,89,66,60,81,67
Deborah Diaz,58,87,79,68,54,100,55,97,75,89
Katherine Wade,89,75,84,87,90,62,90,51,59,89
William Walker,94,75,66,84,71,74,59,99,77,85
Kristen Williams,96,57,61,88,83,80,67,57,62,54
Stephanie Brown,99,70,51,59,90,67,65,58,71,73
Janice Bell,99,94,81,98,64,96,80,87,92,57
Brian Gomez,95,58,80,100,95,91,78,60,97,72
April Reilly,57,79,74,74,60,75,51,84,96,56
Dawn Pena,91,98,84,51,62,60,95,100,63,83
Jeffrey Munoz,62,95,75,63,82,68,92,56,61,71
Claire Short,74,66,94,68,70,90,67,61,60,55
Colleen Marshall,71,81,89,86,96,62,73,68,86,93
Pamela Graves,79,96,73,52,51,93,73,73,88,73
Elizabeth Vega MD,92,58,87,71,82,91,95,71,80,87
Karen Davis,79,93,60,77,59,60,100,60,99,86
Miguel Bryan,77,98,90,78,96,91,60,68,98,90
Rachael Garcia,88,52,78,63,71,53,72,100,81,93
Ruben Soto,59,79,70,76,67,67,93,96,97,75
Christopher Johnson,92,69,53,55,54,52,68,91,67,92
Matthew Lawrence,57,66,92,56,63,62,71,60,77,56
Marissa Allen,55,79,89,96,59,83,79,56,59,79
Stacey Townsend,94,63,78,91,59,54,88,52,64,86
Michael Leon,75,80,58,94,50,70,96,80,92,84
Henry Horn,66,57,68,69,50,58,70,83,91,50
Teresa Walker,89,54,83,77,88,67,100,73,77,77
Nathan Campbell,63,57,66,78,97,88,89,52,54,87
Michael White,93,65,58,59,55,53,88,99,87,71
