Jason Keith,63,89,60,79,77,60,56,65,99,71
Garrett Moore,98,90,56,58,94,76,76,92,82,99
Fred Howard,77,67,92,68,55,50,85,81,90,67
Christie Taylor,67,78,63,99,68,86,50,85,82,74
Elaine Osborn,73,65,88,93,84,100,96,75,73,86
Charles Moody,52,76,72,61,94,77,63,67,97,93
Crystal Martinez,56,86,63,51,50,93,86,98,71,91
Christopher Woods,94,61,75,88,89,72,75,57,72,80
Beth Wilson,68,85,54,52,62,65,86,57,92,95
Angela Silva,59,82,77,98,82,64,75,62,71,68
Julie Cabrera,75,84,80,100,51,57,99,88,65,87
Brian Martinez,67,68,90,78,93,88,85,82,73,63
Zachary Mccoy,72,63,59,88,99,69,73,98,66,95
Christina Russell,84,65,78,81,79,96,66,97,80,61
Douglas Gardner,50,53,75,69,56,98,83,57,53,95
Keith Lutz,74,94,91,95,56,92,57,72,59,80
Aaron Chandler,91,82,91,75,80,81,94,83,74,54
Ronald Newman,73,97,58,97,63,70,50,85,88,86
Joshua Martin,99,95,62,67,86,52,78,50,52,98
Jose Roberts,77,65,55,87,54,82,74,80,56,96
Kenneth Williams,57,55,90,77,56,100,56,62,61,69
Michael Ramirez,89,82,72,76,51,65,78,85,98,51
Nicole Murphy,94,88,92,59,86,55,54,79,60,93
Samantha Clayton,75,63,63,89,65,79,97,56,68,55
Jon Miller,95,100,77,100,96,67,56,92,87,70
Carrie Bowen,93,97,72,68,60,60,68,65,87,68
