Craig Wells,71,100,65,92,51,76,87,50,60,79
Aaron Clay,69,93,92,69,52,97,83,88,62,88
Samantha Riley,53,86,76,75,58,83,91,81,89,63
Sherri Porter,77,80,92,73,55,91,94,98,80,76
Kyle Armstrong,73,80,97,59,69,50,56,55,72,57
Mark Mills,76,94,74,75,75,91,72,92,69,57
Kyle Lewis,94,77,85,52,100,78,73,57,57,57
Jon Simmons,98,83,72,57,72,87,80,69,84,87
Gerald Hawkins,79,59,83,62,53,74,78,97,70,97
Patrick Rios,92,88,97,61,95,93,74,97,70,89
Robert Nicholson,90,98,59,62,99,67,70,85,62,95
Karen Gardner,89,91,60,87,51,91,92,97,65,69
Jeffrey Carney,79,92,70,80,78,95,54,91,75,97
Mrs. Melissa Anderson,66,98,68,65,72,72,88,53,66,64
Joshua Robbins,74,53,99,81,70,84,74,75,70,60
Curtis Porter,96,56,80,91,68,86,55,97,66,65
Madison Mcdonald MD,51,64,94,80,97,100,100,90,60,53
Rita Craig,87,87,90,84,66,69,58,89,92,64
Aaron Gates,71,89,54,83,93,87,97,52,64,58
Lindsey Keller,96,97,65,69,67,73,62,75,62,91
Sydney Johnson,78,94,61,76,64,84,79,81,57,85
Andrew Rodriguez,54,84,96,66,85,71,75,62,70,95
Molly Reed,78,82,67,88,71,84,62,83,95,76
April Kelley,95,52,97,54,75,55,96,97,62,92
Kelly Long,62,100,54,59,91,66,68,87,98,88
Crystal Brown,75,64,80,95,55,74,68,81,64,75
Rebecca Johnson,91,53,77,96,89,100,75,87,93,79
Cassandra Holland,60,51,67,70,87,62,58,96,61,67
Jonathan Johnson,72,99,78,53,93,66,60,77,93,65
Kristen Briggs,80,68,88,68,96,88,65,59,69,80
Amanda Brown,50,79,68,95,65,50,52,58,85,68
Alyssa Crawford,91,100,84,52,91,63,72,53,78,92
Loretta Lewis,60,92,96,54,69,93,82,58,75,74
